,Name,Is Potentially Hazardous,Minimum Orbit Intersection,Absolute Magnitude,Close Approach Date,Miles per Hour,Miss Distance,First Observationv Date,Last Observationv Date
18749,(2011 LT17),True,.0030351,21.6,1904-06-29,23987.1677105201,34660612,2011-06-09,2013-01-04
18750,(2011 LY2),False,.191432,21.2,1905-01-09,15402.0954862154,17586752,2011-06-04,2018-06-02
18751,(2011 MU),True,.0244939,20.2,1901-10-04,54499.1288978083,2638076.25,2011-06-23,2018-03-08
18752,(2011 MQ3),False,.0248944,24.8,1941-07-02,24833.546212175,26594828,2011-06-28,2011-07-21
18753,(2011 MW1),False,.0251116,22.3,1907-07-21,21383.0021139462,4899253.5,2011-06-25,2014-02-04
18754,(2011 OB),True,.0102597,19.4,1901-07-09,45175.8942016835,1408855.75,1993-08-12,2018-09-07
18755,(2011 OL5),False,.118543,20.2,1903-01-14,40165.0626386139,44845660,2010-12-15,2015-06-27
18756,(2011 ON24),False,.152222,23.0,1900-07-06,17348.8974831518,34742712,2011-07-27,2015-05-22
18757,(2011 OB57),False,.0239315,26.0,1905-07-17,44302.8968923922,39917704,2011-07-22,2011-08-19
18758,(2011 PS),True,.0268394,20.4,1905-01-06,36083.1910208162,16941814,2011-08-02,2017-03-30
18759,(2011 PW6),False,.197654,18.5,1904-01-22,43541.8297939374,19058630,2011-08-08,2015-06-26
18760,(2011 QS2),False,.0752253,20.7,1901-01-28,55781.1322884534,39392156,2011-08-20,2014-02-21
18761,(2011 QG21),False,.0511608,21.7,1901-08-15,44589.7872231397,14215296,2011-08-22,2015-09-12
18762,(2011 SR5),True,.000953263,20.7,1906-09-27,50921.7284057016,13206648,2011-09-19,2018-06-16
18763,(2011 SB25),False,.0770309,21.0,1900-11-04,27923.0476133529,33206660,2011-09-20,2013-09-08
18764,(2011 SJ16),False,.107737,19.1,1902-07-03,17178.9778367794,129677784,2011-09-20,2012-05-22
18765,(2011 SR12),False,.150118,19.6,1905-08-15,40731.6062533527,33492562,2011-09-19,2017-01-16
18766,(2011 SS25),False,.0901463,18.1,1903-05-20,87115.1457045091,42858272,2011-09-22,2016-10-26
18767,(2011 SE97),False,.0076514,24.7,1927-08-08,36784.3234957666,7453791.5,2011-09-26,2015-09-11
18768,(2011 SP68),False,.173583,22.3,1904-12-10,15133.1083449277,45674948,2011-09-24,2014-03-27
